기간,자치구,동,계,계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
기간,자치구,동,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
2017,강남구,일원2동,24,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,5,-,-,-
2017,강남구,수서동,33,4,-,-,-,-,20,4,-,-,-,-,-,-,-,-,-,1,-,8,-,-,-,4,-,-,-
2017,강남구,세곡동,29,309,-,-,-,-,14,2,-,1,307,-,-,-,-,-,-,-,-,8,-,-,-,6,-,-,-
2017,강남구,압구정동,14,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-
2017,강남구,청담동,235,769,-,-,4,642,163,123,-,-,-,-,-,-,-,-,-,1,-,40,4,-,-,27,-,-,-
2017,강남구,대치2동,89,246,-,-,2,159,36,87,1,-,-,-,-,-,-,-,-,1,-,30,-,-,-,19,-,-,-
2017,강남구,개포2동,26,2,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,10,2,-,-
2017,송파구,소계,"1,106","6,677",2,"3,175",16,"1,334",508,664,3,8,"1,158",1,213,-,-,-,-,3,-,315,-,3,111,247,22,-,-
2017,송파구,풍납1동,22,97,-,-,1,64,8,33,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,7,-,-,-
2017,송파구,풍납2동,22,"2,704",1,"2,704",-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,7,-,-,-
2017,송파구,거여1동,23,138,-,-,-,-,9,-,-,1,138,-,-,-,-,-,-,-,-,8,-,-,-,5,-,-,-
2017,송파구,거여2동,32,203,-,-,1,180,20,23,1,-,-,-,-,-,-,-,-,-,-,6,-,-,-,4,-,-,-
2017,송파구,마천1동,32,269,-,-,-,-,15,-,-,2,269,-,-,-,-,-,-,-,-,6,-,-,-,9,-,-,-
2017,송파구,마천2동,21,55,-,-,-,-,12,55,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,3,-,-,-
2017,송파구,방이1동,70,102,-,-,-,-,30,98,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,21,4,-,-
2017,송파구,방이2동,40,177,-,-,-,-,23,27,-,1,99,-,-,-,-,-,-,-,-,12,-,1,51,3,-,-,-
2017,송파구,오륜동,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-
2017,송파구,오금동,29,353,-,-,-,-,5,-,-,1,140,1,213,-,-,-,-,-,-,13,-,-,-,9,-,-,-
2017,송파구,송파1동,57,303,-,-,3,277,26,26,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,16,-,-,-
2017,송파구,송파2동,22,47,-,-,-,-,12,47,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,2,-,-,-
2017,송파구,석촌동,66,330,-,-,2,237,28,63,-,-,-,-,-,-,-,-,-,-,-,16,-,1,30,19,-,-,-
2017,송파구,삼전동,49,90,-,-,1,60,23,30,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,11,-,-,-
2017,송파구,가락본동,86,"1,363",1,471,4,304,29,58,-,3,512,-,-,-,-,-,-,-,-,25,-,-,-,24,18,-,-
2017,송파구,가락1동,6,59,-,-,1,59,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-
2017,송파구,가락2동,37,23,-,-,-,-,20,23,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,2,-,-,-
2017,송파구,문정1동,80,107,-,-,-,-,39,77,-,-,-,-,-,-,-,-,-,-,-,24,-,1,30,16,-,-,-
2017,송파구,문정2동,31,61,-,-,1,37,15,24,1,-,-,-,-,-,-,-,-,1,-,8,-,-,-,5,-,-,-
2017,송파구,장지동,32,1,-,-,-,-,18,1,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,6,-,-,-
2017,송파구,위례동,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
2017,송파구,잠실본동,178,140,-,-,1,77,90,63,-,-,-,-,-,-,-,-,-,-,-,46,-,-,-,41,-,-,-
2017,송파구,잠실4동,62,52,-,-,1,39,30,13,-,-,-,-,-,-,-,-,-,1,-,18,-,-,-,12,-,-,-
2017,송파구,잠실6동,38,1,-,-,-,-,16,1,1,-,-,-,-,-,-,-,-,1,-,13,-,-,-,7,-,-,-
2017,송파구,잠실7동,6,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,1,-,-,-
2017,송파구,잠실2동,38,1,-,-,-,-,17,1,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,12,-,-,-
2017,송파구,잠실3동,23,1,-,-,-,-,14,1,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,3,-,-,-
2017,강동구,소계,761,"5,937",3,"2,250",14,913,344,693,1,6,"1,673",-,-,-,-,-,-,3,10,212,-,5,379,173,19,-,-
2017,강동구,강일동,17,24,-,-,-,-,8,24,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,2,-,-,-
2017,강동구,상일동,17,754,1,665,-,-,4,1,1,-,-,-,-,-,-,-,-,2,10,4,-,1,78,4,-,-,-
2017,강동구,명일1동,77,200,-,-,2,165,32,35,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,20,-,-,-
2017,강동구,명일2동,46,38,-,-,-,-,22,38,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,7,-,-,-
2017,강동구,고덕1동,13,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-
2017,강동구,고덕2동,10,3,-,-,-,-,6,3,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-
2017,강동구,암사2동,33,4,-,-,-,-,20,4,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,5,-,-,-
2017,강동구,암사3동,15,1,-,-,-,-,7,1,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,3,-,-,-
2017,강동구,천호1동,29,48,-,-,-,-,11,48,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,12,-,-,-
2017,강동구,천호3동,47,227,-,-,2,164,20,7,-,-,-,-,-,-,-,-,-,-,-,11,-,1,56,13,-,-,-
2017,강동구,성내1동,28,226,-,-,2,125,8,54,-,-,-,-,-,-,-,-,-,-,-,12,-,1,47,5,-,-,-
2017,강동구,성내2동,62,205,-,-,4,190,28,15,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,15,-,-,-
2017,강동구,성내3동,80,122,-,-,-,-,36,122,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,22,-,-,-
2017,강동구,둔촌1동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,강동구,둔촌2동,28,"1,413",1,965,-,-,9,49,-,1,399,-,-,-,-,-,-,-,-,9,-,-,-,8,-,-,-
2017,강동구,암사1동,37,221,-,-,-,-,11,58,-,1,163,-,-,-,-,-,-,-,-,11,-,-,-,14,-,-,-
2017,강동구,천호2동,118,"1,090",-,-,1,32,71,137,-,3,921,-,-,-,-,-,-,1,-,26,-,-,-,16,-,-,-
2017,강동구,길동,103,"1,361",1,620,3,237,44,97,-,1,190,-,-,-,-,-,-,-,-,30,-,2,198,22,19,-,-
