기간,자치구,동,계,계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
기간,자치구,동,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
2017,동대문구,이문2동,16,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,2,-,-,-
2017,중랑구,소계,491,"3,003",3,"1,049",12,831,223,638,-,2,286,-,-,-,-,1,199,-,-,147,-,-,-,103,-,-,-
2017,중랑구,면목2동,27,156,-,-,1,86,13,70,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,8,-,-,-
2017,중랑구,면목4동,11,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,4,-,-,-
2017,중랑구,면목5동,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
2017,중랑구,면목7동,40,65,-,-,1,53,21,12,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,6,-,-,-
2017,중랑구,상봉1동,26,33,-,-,1,33,11,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,6,-,-,-
2017,중랑구,상봉2동,38,312,-,-,1,90,13,78,-,1,144,-,-,-,-,-,-,-,-,16,-,-,-,7,-,-,-
2017,중랑구,중화1동,20,97,-,-,1,66,9,31,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,5,-,-,-
2017,중랑구,중화2동,38,66,-,-,-,-,20,66,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,8,-,-,-
2017,중랑구,묵1동,32,77,-,-,2,75,9,2,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,8,-,-,-
2017,중랑구,묵2동,27,99,-,-,-,-,14,99,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,7,-,-,-
2017,중랑구,망우3동,11,83,-,-,1,58,2,25,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,5,-,-,-
2017,중랑구,신내1동,39,691,1,623,-,-,19,68,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,7,-,-,-
2017,중랑구,신내2동,25,142,-,-,-,-,12,-,-,1,142,-,-,-,-,-,-,-,-,7,-,-,-,5,-,-,-
